country,code.3,code.2,type,capital,founding.date,capital.lat,capital.long,telephone.lines,telephone.mobile,internet.users,broadband.subscriptions,gdp.ppp,gdp.growth.rate,gdp.per.capita,gross.national.savings,industrial.production.growth.rate,labor.force.size,unemployment.rate,gini.index,tax.revenue,budget.surplus,debt,inflation.rate,central.bank.discount.rate,bank.lending.rate,current.account.balance,exports,imports,foreign.exchange,debt.external,electricity.production,electricity.consumption,electricity.exports,electricity.imports,electricity.capaicty,electricity.fossil.fuels,electricity.nuclear,electricity.hydroelectric,electricity.renewable,oil.production,oil.exports,oil.imports,oil.reserves,petroleum.production,natural.gas.production,natural.gas.consumption,natural.gas.export,natural.gas.import,natural.gas.reserves,co2.emissions,area,military.expenditures,population,age.median,population.growth.rate,birth.rate,death.rate,migration.net.rate,mortality.maternal.rate,mortality.infant.rate,life.expectany,fertility.rate,obesity.rate,underweight.children.under.5.rate,education.expenditures,unemployment.rate.youth,airports,railways,roadways,education.per.gdp,ag.area.per.total,ag.sq.km,arable.land.per.total,arable.land.hect.per.capita,birth.rate.per.1000,fish.production.1000.tons,co2.emissions.total,co2.emissions.per.capita,co2.emissions.from.gas.fuels,co2.emissions.from.liquid.fuels,death.rate.per.1000,fertility.rate.per.woman,fdi,forest.area.percent,gdp.constant,gdp.current,internet.access.percentage,inflation.rate,land.area.sq.km,life.expectancy.female,life.expectancy.male,life.expectancy.all,exports,imports,mobile.subscriptions.per.100,open.defecation.percentage,drinking.water.percentage,sanitation.percentage,population.density,populatiion.growth.rate,population.total,preeducation.years.avg,primary.education.avg,population.rural,population.rural.percentage,population.rural.growth.rate,science.articles,secondary.education.avg,internet.servers.per.million,area.sq.km,fish.production.tons,urban.populaiton,urban.population.percentage,urban.population.growth.rate,protected.areas.percentage,terrestrial.protected.areas.percentage
"Korea, South",KOR,KR,republic,Seoul,8/15/45,37 33 N,126 59 E,"26,842,952","63,658,688","44,153,000","21,195,918","$2,035,000,000,000 ",3.1,"$39,500 ",36.6,4.6,"27,750,000",3.7,35.7,23.2,1.4,39.5,1.9,1.5,3.48,78460000000.00,"$577,400,000,000 ","$457,500,000,000 ","$389,200,000,000 ","$384,600,000,000 ","526,000,000,000","507,600,000,000",0,0,"111,200,000.00",70,21,2,8,0,0,"3,057,000",NA,"3,302,000","339,800,000","45,280,000,000",0,"48,650,000,000","7,079,000,000","778,400,000.00","99,720.00",2.62,"51,418,097",42.3,0.44,8.3,6.3,2.4,11,3,82.5,1.27,4.7,0.7,5.3,10.4,111,"3,979","100,428",4.63873508,17.44607064,17008.00049,14.57600286,0.027744259,7.9,1395951,620302.386,12.11106978,15.2537864,30.35741733,5.5,1.172,12104300000,63.35483649,1.36882E+12,1.50011E+12,92.84302568,1.986038505,97489.00391,85.4,79.3,82.27560976,4.95E+11,4.06E+11,120.2263275,0,99.67540217,100,525.3700515,0.396851823,51217803,5,6,9443539,18.438,0.788121027,62735.09,6,720.9992978,100339.0039,3255171,41774264,81.562,0.308612806,3.885269528,11.23
Kuwait,KWT,KW,constitutional emirate,Kuwait City,6/19/61,29 22 N,47 58 E,"542,082","5,136,384","2,219,972","113,427","$289,700,000,000 ",-3.3,"$65,800 ",35.4,2.8,"2,695,000",1.1,NA,41.8,-10,20.6,1.5,2.75,4.68,7127000000.00,"$55,170,000,000 ","$29,530,000,000 ","$33,700,000,000 ","$47,240,000,000 ","65,950,000,000","57,780,000,000",0,0,"18,890,000.00",100,0,0,0,"2,807,000","479,700",0,"101,500,000,000","915,800","17,100,000,000","21,720,000,000",0,"5,125,000,000","1,784,000,000,000","106,500,000.00","17,818.00",5.06,"2,916,467",29.4,1.38,18.8,2.3,-2.8,12,6.8,78.3,2.35,37.9,3,NA,15.4,7,NA,"5,749",3.19,8.417508418,1500,0.448933782,0.002021798,15.369,5493,98733.975,24.95251303,42.16155989,55.38718663,2.518,2.082,292026510.2,0.350729517,1.42E+11,1.0942E+11,78.36738376,-6.83796631,17820,76.269,74.495,75.224,4.63E+10,3.08E+10,193.571063,0,100,100,222.0468575,3.113104246,3956875,2,5,0,0,NA,825.56,7,398.0413837,17820,5689.16,3956875,100,3.113104246,10.99827043,17.5
Laos,LAO,LA,Communist state,Vientiane,7/19/49,17 58 N,102 36 E,"1,125,469","3,711,813","1,258,000","27,217","$49,340,000,000 ",6.9,"$7,400 ",22.7,8,"3,582,000",0.7,36.7,18.3,-5.5,63.6,0.8,4.3,18.5,-2057000000.00,"$3,654,000,000 ","$4,976,000,000 ","$1,270,000,000 ","$14,900,000,000 ","29,740,000,000","5,471,000,000","8,469,000,000","2,500,000,000","6,940,000.00",28,0,72,1,0,0,0,0,0,0,0,0,0,0,"10,420,000.00","236,800.00",0.19,"7,234,171",23.4,1.48,23.2,7.3,-1,185,48.4,65,2.65,5.3,26.9,2.9,18.2,41,NA,"39,586",2.613163658,10.26429809,23690,6.60745234,0.222762826,24.337,70915,17762.948,2.594704584,0,16.43270025,6.593,2.751,935296172.8,82.10823257,11102172423,15805692546,21.87,3.022306443,230800,68.712,65.15,66.924,4.25E+09,5.37E+09,57.82353269,22.90727065,79.94190199,71.93004839,29.66137782,1.540943466,6845846,6,5,4536331,66.264,0.597682648,88.18,7,8.326217096,236800,180750,2309515,33.736,3.419998696,16.68222527,16.68
Lebanon,LBN,LB,republic,Beirut,11/22/43,33 52 N,35 30 E,"1,816,262","4,890,534","4,747,542","1,300,000","$88,250,000,000 ",1.5,"$19,600 ",-0.7,-21.1,"2,166,000",9.7,NA,21.5,-6.9,146.8,4.5,10,8.29,-12370000000.00,"$3,524,000,000 ","$18,340,000,000 ","$55,420,000,000 ","$39,300,000,000 ","17,590,000,000","15,710,000,000",0,"69,000,000","2,346,000.00",88,0,11,1,0,0,0,0,0,0,0,0,0,0,"23,360,000.00","10,400.00",4.99,"6,100,075",31.3,-3.13,14.1,5.1,-40.3,29,7.2,77.9,1.72,32,NA,2.5,NA,8,401,"21,705",2.1,64.32062561,6580,12.90322581,0.019668845,17.744,4291,24796.254,3.694800615,0,86.54244306,4.181,2.104,2568485071,13.42913049,43031617543,51205122504,76.11,0.989907573,10230,80.758,76.996,78.8,3.93E+09,1.94E+10,63.70068515,0.030128205,92.6,96.92084295,656.0235582,2.69490347,6711121,3,6,787483,11.734,1.340529381,1446.98,6,88.21179055,10450,5306,5923638,88.266,2.876342012,1.042341321,2.59
Liberia,LBR,LR,republic,Monrovia,7/26/1847,6 18 N,10 48 W,"8,000","3,117,002","314,717","8,000","$6,112,000,000 ",2.5,"$1,300 ",-21.9,9,"1,677,000",2.8,32,16.9,-4.3,34.4,12.4,3.2,13.3,-627000000.00,"$260,600,000 ","$1,166,000,000 ","$459,800,000 ","$1,036,000,000 ","300,000,000","279,000,000",0,0,"151,000.00",57,0,43,0,0,0,0,0,0,0,0,0,0,0,"1,163,000.00","111,369.00",0.77,"4,809,768",17.8,2.59,37.9,7.4,-4.7,661,50.6,63.8,5,9.9,15.3,3.8,2.3,29,429,"10,600",3.66,28.03156146,27000,5.1910299,0.109008744,33.843,14700,1386.126,0.302199709,0,91.26984127,7.957,4.461,311699760.3,43.07516611,2514789742,3277826000,7.319106411,4.850799608,96320,64.198,61.409,62.802,2.79E+08,1.30E+09,67.95610958,40.5182854,72.44900137,16.83280719,47.62030731,2.529283132,4586788,3,6,2281744,49.746,1.660654848,16.55,6,2.180174885,111370,14740,2305044,50.254,3.396626942,0.773224089,2.49
Libya,LBY,LY,operates under a transitional government,Tripoli,12/24/51,32 53 N,13 10 E,"1,374,408","7,660,068","1,326,194","168,920","$61,970,000,000 ",64,"$9,600 ",5,60.3,"1,114,000",30,NA,51.6,-25.1,4.7,28.5,9.52,7.3,2574000000.00,"$18,380,000,000 ","$11,360,000,000 ","$74,710,000,000 ","$3,020,000,000 ","34,240,000,000","27,300,000,000",0,"376,000,000","9,460,000.00",100,0,0,0,"1,039,000","337,800",0,"48,360,000,000","89,620","9,089,000,000","4,446,000,000","4,644,000,000",0,"1,505,000,000,000","46,480,000.00","1,759,540.00",NA,"6,754,507",29.4,1.45,17.2,3.7,0.9,72,10.5,76.9,2.03,32.5,NA,NA,48.7,146,NA,"37,000",2.1374382,8.723871012,153500,0.977528218,0.264934774,19.935,30002,50564.263,7.788506729,18.90637465,59.06157082,5.108,2.317,0,0.123327688,36808842613,26197143268,20.27215956,-2.557563462,1759540,75.449,69.442,72.311,9.45E+09,8.67E+09,117.9894772,0,98.52894737,100,3.689693897,1.1440289,6492164,2,6,1328297,20.46,-0.166991788,144.21,6,142.6334886,1759540,30012,5163867,79.54,1.484059343,0.288612427,0.21
Saint Lucia,LCA,LC,parliamentary democracy,Castries,2/22/79,14 00 N,61 00 W,"35,014","176,694","86,000","31,781","$2,542,000,000 ",3,"$14,400 ",19.4,6,"79,700",20,NA,23.6,0.3,70.7,0.1,6.5,8.34,21000000.00,"$185,100,000 ","$600,000,000 ","$321,800,000 ","$570,600,000 ","369,000,000","343,200,000",0,0,"89,000.00",99,0,0,1,0,0,0,0,0,0,0,0,0,0,"437,900.00",616,NA,"165,510",35.5,0.31,13.1,7.8,-2.2,117,10.6,78.1,1.74,19.7,2.8,3.8,46.2,2,NA,"1,210",4.057355469,17.37704981,106.0000038,4.918032787,0.016664445,12.271,2097,414.371,2.301754211,0,100,7.123,1.461,143682737.6,33.18032749,1581782553,1865375222,46.72907806,-0.786656336,610,77.13,74.435,75.752,1.20E+08,6.55E+08,98.12469449,0.794748266,98.16222649,88.35991069,295.1213115,0.500070651,180024,4,7,146615,81.442,0.447064072,4.91,5,183.3088921,620,2129.44,33409,18.558,0.733022178,0.933100985,18.8
Liechtenstein,LIE,LI,hereditary constitutional monarchy,Vaduz,1/23/1719,47 08 N,9 31 E,"15,852","46,625","37,214","15,935","$4,978,000,000 ",1.8,"$139,100 ",NA,NA,"38,520",2.4,NA,14.9,1.6,NA,-0.4,NA,NA,NA,"$3,217,000,000 ","$2,230,000,000 ",NA,$0 ,"68,430,000","393,600,000",0,"325,200,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,NA,"38,547",43.4,0.78,10.4,7.6,5,NA,4.2,82,1.69,NA,NA,2.6,NA,NA,9,630,3.062216157,32.24999905,51.59999847,13.50000054,0.057358333,10,0,51.338,1.363269425,100,0,7.2,1.61,60669833863,43.1250006,NA,6237264055,98.09390389,NA,160,84,80.6,82.25853659,NA,NA,117.6323756,0,100,99.95,235.3625,0.500480227,37658,2,5,32272,85.697,0.500133065,41.87,7,17552.71124,160,0,5386,14.303,0.502560388,42.48952723,42.49
Sri Lanka,LKA,LK,republic,Colombo,2/4/48,6 55 N,79 50 E,"2,603,178","28,199,083","7,126,540","1,220,504","$275,800,000,000 ",3.3,"$12,900 ",33.8,4.6,"8,937,000",4.4,39.2,13.8,-5.5,79.1,6.5,7.25,11.6,-2310000000.00,"$11,360,000,000 ","$20,980,000,000 ","$7,959,000,000 ","$51,720,000,000 ","13,660,000,000","12,670,000,000",0,0,"3,998,000.00",52,0,42,6,0,0,"33,540",0,"34,210",0,0,0,0,0,"25,190,000.00","65,610.00",1.89,"22,576,592",33.1,0.73,14.8,6.3,-1.3,36,8.2,77.1,2.05,5.2,20.5,2.8,21,19,"1,562","114,093",2.516406641,43.69319088,27400,20.73034604,0.061312078,16.364,521637,23362.457,1.101846767,0,70.56976927,6.459,2.211,897049375.9,32.90384153,79917480155,82401038710,16.4,4.84313582,62710,79.835,73.062,76.482,1.03E+10,1.92E+10,122.7200854,0.744616171,88.83598462,95.10703002,338.1119439,1.104983619,21203000,2,5,17320519,81.689,1.037678486,1082.79,8,71.0748479,65610,552611.2,3882481,18.311,1.405798247,3.378798485,29.86
Lesotho,LSO,LS,parliamentary constitutional monarchy,Maseru,10/4/66,29 19 S,27 29 E,"10,637","2,380,804","534,360","4,984","$6,656,000,000 ",-1.6,"$3,300 ",20.3,12.5,"930,800",28.1,63.2,39.7,-6,33.7,5.3,6.75,11.58,-102000000.00,"$1,028,000,000 ","$1,826,000,000 ","$657,700,000 ","$934,600,000 ","510,000,000","847,300,000",0,"373,000,000","80,400.00",0,0,100,1,0,0,0,0,0,0,0,0,0,0,"711,100.00","30,355.00",1.81,"1,962,461",24.4,0.24,24.2,15.1,-6.6,544,44.6,53,2.59,16.6,10.5,6.4,34.4,24,NA,"5,940",6.371333791,77.63504611,23570,11.5942029,0.169638472,27.501,52,2511.895,1.210551224,0,31.97080292,15.157,3.197,159186980.4,1.646903821,2950103849,2165408362,32.45385695,0.179180642,30360,55.299,48.969,52.059,8.81E+08,1.86E+09,110.0185058,28.3002139,68.62891179,40.77341633,68.3465415,0.773100849,2075001,3,7,1508173,72.683,0.211937542,20.89,5,8.674694615,30360,1102,566828,27.317,2.281721551,0.259058862,0.26
Lithuania,LTU,LT,parliamentary democracy,Vilnius,3/11/90,54 41 N,25 19 E,"486,895","4,361,329","2,122,884","798,769","$91,470,000,000 ",3.9,"$32,400 ",18,5.9,"1,467,000",7.1,37.9,33.7,0.5,39.7,3.7,0,2.8,364000000.00,"$29,120,000,000 ","$31,560,000,000 ","$4,450,000,000 ","$34,480,000,000 ","3,131,000,000","10,500,000,000","730,000,000","11,110,000,000","3,710,000.00",73,0,4,23,"2,000","1,002","182,900","12,000,000","196,500",0,"2,492,000,000",0,"2,492,000,000",0,"13,490,000.00","65,300.00",2.03,"2,793,284",44,-1.1,9.8,14.8,-6.1,5,3.8,75.2,1.6,26.3,NA,4.2,13.3,61,"1,768","84,166",3.875043134,47.15526021,29538.99902,34.20388926,0.747010997,10.7,106945,12962.845,4.519456418,32.53182461,58.13295615,14.3,1.69,962458735.9,34.83285866,45731446189,43021972485,74.37664556,1.613621739,62642.00195,80.1,69.5,74.67073171,2.50E+10,2.74E+10,145.513378,0,97.07374359,92.81072301,45.78766499,-1.270694533,2868231,7,4,936019,32.634,-1.686518169,2306.22,8,4377.611148,65286.00098,111337.7,1932212,67.366,-1.068634221,17.3391959,16.94
Luxembourg,LUX,LU,constitutional monarchy,Luxembourg,1839,49 36 N,6 07 E,"275,300","794,000","567,698","212,900","$62,110,000,000 ",2.3,"$105,100 ",22.3,1.9,"282,800",5.8,30.4,44.4,1.5,23,2.1,0,1.9,3112000000.00,"$15,990,000,000 ","$20,660,000,000 ","$878,000,000 ","$3,781,000,000,000 ","334,500,000","6,475,000,000","1,420,000,000","7,718,000,000","1,709,000.00",25,0,8,67,0,0,0,0,0,0,"792,800,000",0,"792,800,000",0,"10,720,000.00","2,586.00",0.56,"605,764",39.3,1.9,11.6,7.3,14.8,5,3.4,82.4,1.62,22.6,NA,3.9,15.4,2,275,"2,875",5.473272924,53.71193591,1305.200043,25.45679037,0.106286104,10.4,0,8987.817,15.44261306,18.07425541,73.56181151,6.8,1.41,31878014247,35.67901109,64115896583,60691483443,98.13669867,0.770690202,2430,85.4,80.1,82.68536585,1.58E+10,2.19E+10,131.8915037,0,99.90687142,97.60554225,239.5119342,2.155311988,582014,3,6,55524,9.54,-0.74822042,857.78,7,11473.9508,2590,0,526490,90.46,2.466492964,32.26921747,32.27
Latvia,LVA,LV,parliamentary democracy,Riga,5/4/90,56 57 N,24 06 E,"342,097","2,464,122","1,570,374","525,679","$54,020,000,000 ",4.5,"$27,700 ",20.7,10.6,"990,000",8.7,34.5,37.5,-0.5,36.3,2.9,0,2.58,-231000000.00,"$12,840,000,000 ","$15,790,000,000 ","$4,614,000,000 ","$40,020,000,000 ","6,241,000,000","6,798,000,000","3,795,000,000","4,828,000,000","2,932,000.00",39,0,53,8,0,0,0,0,0,0,"1,218,000,000",0,"1,246,000,000",0,"8,632,000.00","64,589.00",2.01,"1,923,559",43.9,-1.1,9.6,14.5,-6,19,5.1,74.9,1.52,23.6,NA,5.3,17,42,"1,860","70,244",4.291350684,31.05500161,19310,20.71405597,0.657298127,11.2,114806,7003.97,3.574298418,36.17801047,53.71727749,14.6,1.74,333187719.9,53.97876974,28874733915,27734140217,79.84209778,0.858465884,62180,79.6,69.8,74.5804878,1.23E+10,1.44E+10,134.240928,0,98.57478637,91.78196205,31.51394339,-0.913885332,1959537,6,6,626640,31.979,-1.042043205,1390.79,6,2938.449236,64490,115594.1,1332897,68.021,-0.853577171,17.50989222,18.17
Morocco,MAR,MA,constitutional monarchy,Rabat,3/2/56,34 01 N,6 49 W,"2,046,390","43,916,066","19,611,643","1,378,867","$298,600,000,000 ",4.1,"$8,600 ",30.1,2.8,"12,000,000",10.2,40.9,20.9,-3.6,65.1,0.8,6.5,5.6,-3920000000.00,"$21,480,000,000 ","$39,640,000,000 ","$26,270,000,000 ","$51,480,000,000 ","28,750,000,000","28,250,000,000","165,000,000","5,289,000,000","8,303,000.00",68,0,16,15,160,0,"61,160","684,000","66,230","87,780,000","1,218,000,000",0,"1,133,000,000","1,444,000,000","55,400,000.00","446,550.00",3.1,"34,314,130",29.7,0.95,17.5,4.9,-3.1,70,21.1,77.3,2.09,26.1,2.9,5.3,22.2,55,"2,067","57,300",5.2,68.54470087,305915,18.21644634,0.231450535,19.868,1454105,61275.57,1.744435849,3.859964093,56.60083782,5.093,2.489,2153363905,12.6013892,1.14585E+11,1.03312E+11,58.27123642,1.483157005,446300,77.202,74.694,75.974,2.27E+10,4.14E+10,118.1848162,7.362884665,86.63644194,88.41946438,78.70557024,1.32597922,35126296,5,6,13572801,38.64,-0.089933607,3838.75,6,24.45461372,446550,1455247,21553495,61.36,2.228015098,18.54636606,30.81
Monaco,MCO,MC,constitutional monarchy,Monaco,1419,43 44 N,7 25 E,"47,013","32,978","29,116","19,258","$7,672,000,000 ",5.4,"$115,700 ",NA,6.8,"52,000",2,NA,14.9,-1,NA,1.5,NA,NA,NA,"$964,600,000 ","$1,371,000,000 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"30,727",53.8,0.3,6.5,10.1,6.5,NA,1.8,89.4,1.54,NA,NA,1.5,26.6,NA,NA,NA,1.03,NA,NA,NA,NA,7.8,1,NA,NA,NA,NA,7.9,NA,NA,NA,7399605197,6472990923,95.20817797,0.112545448,2,NA,NA,NA,NA,NA,87.46256895,0,100,100,19035,0.92891363,38070,3,5,0,0,NA,42.92,7,7171.000788,2,1,38070,100,0.92891363,99.72008397,62.5
Moldova,MDA,MD,republic,Chisinau,8/27/91,47 00 N,28 51 E,"1,143,852","3,662,968","2,492,444","584,330","$23,720,000,000 ",4.5,"$6,700 ",13.5,3,"1,295,000",4.1,26.8,30.2,-0.6,31.5,6.6,6.5,10.36,-602000000.00,"$1,858,000,000 ","$4,427,000,000 ","$2,803,000,000 ","$6,549,000,000 ","5,490,000,000","4,400,000,000",0,"4,000,000","515,000.00",86,0,12,2,0,0,20,0,232,"11,330,000","2,520,000,000",0,"2,520,000,000",NA,"7,653,000.00","33,851.00",0.35,"3,437,720",37,-1.06,11.2,12.6,-9.3,19,11.7,71.3,1.57,18.9,2.2,6.7,7.4,7,"1,171","9,352",4.851869777,74.21708726,24410,55.55792183,0.652101781,10.445,50,5115.465,1.825536995,33.76344086,48.17204301,11.452,1.259,88390000,12.57525102,8741545795,8071480541,70.99999911,5.674085229,32890,75.9,67.34,71.617,2.05E+09,4.02E+09,93.17465849,0.134140994,88.68506143,75.82827451,97.61277737,-1.148202158,2802170,6,4,1610940,57.489,-1.184681426,299.63,7,660.9163612,33850,12061.4,1191230,42.511,-1.098848853,4.151478928,4.15
Madagascar,MDG,MG,republic,Antananarivo,6/26/60,18 55 S,47 31 E,"68,792","8,730,499","1,151,563","25,062","$39,850,000,000 ",4.2,"$1,600 ",14.8,5.2,"13,400,000",1.8,41,15.9,-2.7,36,8.3,9.5,60,-35000000.00,"$2,290,000,000 ","$2,738,000,000 ","$1,600,000,000 ","$4,089,000,000 ","1,706,000,000","1,587,000,000",0,0,"675,400.00",74,0,24,2,0,0,0,0,0,0,0,0,0,0,"4,021,000.00","587,041.00",0.6,"25,683,610",19.9,2.46,31,6.4,0,335,40.1,66.6,3.95,5.3,32.9,2.8,1,83,836,"31,640",2.08,71.18425576,414150,6.015812994,0.140593981,33.138,142333,3905.355,0.156876974,0,69.95305164,6.324,4.184,540842779.8,21.41113785,11843389099,11848615018,4.713662899,8.960064041,581800,67.506,64.369,65.931,2.25E+09,2.97E+09,32.12876245,44.23955669,53.18464963,10.12063953,42.78855277,2.688183812,24894380,3,5,15968251,64.144,1.659879121,108.2,7,3.052897883,587295,168331,8926129,35.856,4.55455199,1.972848754,5.25
Maldives,MDV,MV,republic,Male,7/26/65,4 10 N,73 30 E,"20,377","900,120","232,210","36,001","$6,901,000,000 ",4.8,"$19,200 ",0.5,14,"222,200",2.9,38.4,26.4,-10.1,63.9,2.3,7,10.5,-876000000.00,"$256,200,000 ","$2,125,000,000 ","$477,900,000 ","$848,800,000 ","402,000,000","373,900,000",0,0,"278,000.00",96,0,0,4,0,0,0,0,0,0,0,0,0,0,"1,648,000.00",298,NA,"392,473",28.6,-0.06,16.1,4,-12.7,53,21.3,76,1.72,8.6,17.7,4.1,15.9,9,NA,93,4.391921197,26.33333365,79.00000095,13.00000032,0.008201669,15.641,129191,1444.798,3.03839853,0,100,2.965,1.947,456639057.3,3.333333333,3628864087,4379136462,59.09258997,0.225232737,300,79.854,76.629,78.013,2.56E+08,2.13E+09,170.7902219,0,99.23921181,99.21069892,1585.043333,4.428363294,475513,3,7,290282,61.046,3.734622662,5.64,5,212.4021846,300,129191,185231,38.954,5.525323106,0.049001821,0.98
Mexico,MEX,MX,federal republic,Mexico City,9/16/1810,19 26 N,99 08 W,"20,602,668","114,326,842","73,334,032","17,131,820","$2,463,000,000,000 ",2,"$19,900 ",21.4,-0.6,"54,510,000",3.4,48.2,22.7,-1.1,54.3,6,7.25,7.34,-19350000000.00,"$409,800,000,000 ","$420,800,000,000 ","$175,300,000,000 ","$445,800,000,000 ","302,700,000,000","258,700,000,000","7,308,000,000","3,532,000,000","72,560,000.00",71,2,17,9,"1,852,000","1,214,000",0,"6,630,000,000","844,600","31,570,000,000","81,610,000,000","36,810,000","50,120,000,000","279,800,000,000","454,100,000.00","1,964,375.00",0.54,"125,959,205",28.6,1.09,18.1,5.4,-1.8,33,11.3,76.3,2.22,28.9,4.2,4.9,6.9,"1,714","20,825","398,148",4.875995938,54.64955374,1062360,11.60626559,0.182935072,18.245,1524467,486405.548,3.943827403,31.1631133,51.93148578,5.851,2.186,37684751329,33.92494583,1.25872E+12,1.0779E+12,59.540446,5.377774166,1943950,77.826,71.99,74.917,3.74E+11,3.98E+11,90.59237542,1.37852222,98.88367938,90.30357097,63.44472646,1.203251329,123333376,6,6,25188375,20.423,-0.216385488,15199.9,6,119.6594181,1964375,1745795,98145001,79.577,1.57086664,6.75214757,14.27
Marshall Islands,MHL,MH,constitutional government,Majuro,10/21/86,7 06 N,171 23 E,"2,361","16,000","21,857","1,000","$196,000,000 ",2.5,"$3,600 ",NA,NA,"10,670",36,NA,52.6,1.3,25.5,0,NA,NA,-1000000.00,$0 ,"$103,800,000 ",NA,"$97,960,000 ","650,000,000","604,500,000",0,0,"52,000.00",81,0,19,0,0,0,0,0,0,0,0,0,0,NA,"293,700.00",181,NA,"75,684",23.1,1.5,23.8,4.2,-4.6,NA,18.7,73.6,2.98,52.9,11.9,NA,11,15,NA,"2,028",6.51,63.88888889,115,11.11111111,0.034641032,NA,64795,143.013,2.477058976,0,100,NA,NA,-3055847.449,70.22222413,166145000.9,200558400,29.78777936,7.243771379,180,NA,NA,NA,3.60E+07,9.70E+07,NA,10.15355499,87.35748409,83.23294667,320.75,0.514006029,57735,2,6,13725,23.772,-1.223810488,1.39,6,51.96154845,180,64800,44010,76.228,1.062199468,0.270441583,12.06
Macedonia,MKD,MK,parliamentary democracy,Skopje,9/8/91,42 00 N,21 26 E,"361,269","2,121,805","1,475,000","386,718","$31,030,000,000 ",0,"$14,900 ",30.3,-7.8,"950,800",22.4,33.7,29,-2.7,39.3,1.4,3.25,6.21,-151000000.00,"$4,601,000,000 ","$6,630,000,000 ","$2,802,000,000 ","$8,790,000,000 ","5,396,000,000","6,420,000,000","58,500,000","2,191,000,000","1,828,000.00",60,0,37,3,0,142,0,0,0,0,"198,200,000",0,"198,200,000",0,"7,459,000.00","25,713.00",0.99,"2,118,945",38.2,0.19,10.8,9.6,0.7,7,7.8,75.9,1.49,22.4,1.3,NA,46.7,10,925,"14,182",3.268428779,50.15860428,12650,16.49484536,0.199928391,11.075,306,7051.641,3.388998171,5.148205928,40.35361414,9.88,1.506,549371101.6,39.57176844,10918165751,10672471861,72.15681447,3.465252857,25220,77.55,73.491,75.498,4.79E+09,6.76E+09,98.54624045,0.687479402,93.15266666,98.7025715,82.50376685,0.068123807,2080745,5,5,883006,42.437,-0.296387314,510.01,8,466.6597781,25710,1292,1197739,57.563,0.3377048,9.652911791,9.65
Mali,MLI,ML,republic,Bamako,9/22/60,12 39 N,8 00 W,"200,812","20,217,697","1,940,978","21,444","$41,220,000,000 ",5.4,"$2,200 ",16.5,6.3,"6,447,000",7.9,40.1,20,-2.9,35.4,1.8,16,5.2,-886000000.00,"$3,060,000,000 ","$3,644,000,000 ","$647,800,000 ","$4,192,000,000 ","2,489,000,000","2,982,000,000",0,"800,000,000","590,000.00",68,0,31,1,0,0,0,0,0,0,0,0,0,0,"3,388,000.00","1,240,192.00",2.87,"18,429,893",15.8,2.98,43.2,9.6,-3.9,562,67.6,60.8,5.9,8.6,25,3.1,2.3,25,593,"139,107",3.06606775,33.76605283,412010,5.254099771,0.356852041,42.638,102486,3179.289,0.176967052,0,90.08073818,10.307,6.057,356234602.7,3.799408289,13460048565,14020002871,11.11218649,1.392181331,1220190,58.695,57.275,57.987,2.83E+09,4.05E+09,112.5365904,7.919009273,76.58434968,37.74745111,14.72346848,2.975295283,17965429,3,6,10638588,59.217,1.646708385,86.07,6,3.172760305,1240190,106680,7326841,40.783,4.936382277,8.231583419,8.23
Malta,MLT,MT,republic,Valletta,9/21/64,35 53 N,14 30 E,"240,280","560,010","320,902","181,318","$19,260,000,000 ",6.7,"$41,900 ",33.5,-3.3,"206,300",4.6,28.1,40.4,3.9,50.7,1.3,-0.35,3.7,1712000000.00,"$3,272,000,000 ","$4,996,000,000 ","$833,000,000 ","$90,980,000,000 ","813,000,000","2,122,000,000",0,"1,525,000,000","575,100.00",81,0,0,19,0,0,0,0,0,0,"283,200,000",0,"311,500,000",0,"8,141,000.00",316,0.49,"449,043",41.8,0.99,10,7.9,7.8,6,4.7,82.7,1.48,28.9,NA,5.3,11.3,1,NA,"2,254",4.74959551,32.43750036,103.8000011,28.34374905,0.019918481,9.8,2420,1342.122,2.947412574,0,100,7.3,1.37,3143420045,1.093749981,12197936956,11444483134,78.0751488,1.468013798,320,84.4,80.6,82.45365854,3.19E+09,6.44E+09,134.252242,0,99.99999822,99.95887563,1422.9875,2.288615441,455356,2,6,25136,5.52,1.100077098,333.94,7,3234.831648,320,8492.917,430220,94.48,2.358495608,6.365390554,23.69
